target,predictor,value,r_squared,mse,predictor_layer,target_layer
TAB3,(Intercept),-1.12527406093742e-17,0.144161473904817,0.808895196457651,(Intercept),gene
TAB3,MAP3K7,0.0243751451633077,0.144161473904817,0.808895196457651,gene,gene
TAB3,TAB1,-0.0839273265079994,0.144161473904817,0.808895196457651,gene,gene
TAB3,TAB2,0.144341715524608,0.144161473904817,0.808895196457651,gene,gene
TAB3,TRAF6,0.265315305561285,0.144161473904817,0.808895196457651,gene,gene
TAB3,age,0.0637259267785737,0.144161473904817,0.808895196457651,phenotype,gene
PLXNB2,(Intercept),2.72041403384972e-17,1.62832471365407e-05,0.998141697546712,(Intercept),gene
PLXNB2,ARHGEF11,0,1.62832471365407e-05,0.998141697546712,gene,gene
PLXNB2,age,0.00403525056676047,1.62832471365407e-05,0.998141697546712,phenotype,gene
MAPK11,(Intercept),-5.26633618613637e-19,0.0275988426677423,0.961271640782529,(Intercept),gene
MAPK11,HDAC3,0,0.0275988426677423,0.961271640782529,gene,gene
MAPK11,PML,0.167906689612546,0.0275988426677423,0.961271640782529,gene,gene
MAPK11,age,0.0192443718323967,0.0275988426677423,0.961271640782529,phenotype,gene
SBF1,(Intercept),2.40508999200405e-17,0.0178803769438958,0.968225390663027,(Intercept),gene
SBF1,MTMR2,0.0253588063130297,0.0178803769438958,0.968225390663027,gene,gene
SBF1,SUV39H1,0.127380480249591,0.0178803769438958,0.968225390663027,gene,gene
SBF1,age,-0.0113832740713556,0.0178803769438958,0.968225390663027,phenotype,gene
SHANK3,(Intercept),5.91874987648422e-17,0.0663102573864572,0.917740228933691,(Intercept),gene
SHANK3,ARHGEF7,0.250076404732599,0.0663102573864572,0.917740228933691,gene,gene
SHANK3,age,-0.0390079603595369,0.0663102573864572,0.917740228933691,phenotype,gene
TRIM28,(Intercept),2.08683918272792e-17,0.0492524098356128,0.93106160193252,(Intercept),gene
TRIM28,CBX5,0.0387642455277687,0.0492524098356128,0.93106160193252,gene,gene
TRIM28,NCOR1,-0.136223372062425,0.0492524098356128,0.93106160193252,gene,gene
TRIM28,SETDB1,0.0748211849513204,0.0492524098356128,0.93106160193252,gene,gene
TRIM28,ZNF10,-0.0267542763599086,0.0492524098356128,0.93106160193252,gene,gene
TRIM28,ZNF197,-0.120430592712477,0.0492524098356128,0.93106160193252,gene,gene
TRIM28,age,-0.0579438901135064,0.0492524098356128,0.93106160193252,phenotype,gene
ZNF446,(Intercept),3.64296547117563e-18,0.12426305413229,0.821292185858221,(Intercept),gene
ZNF446,ZNF232,-0.0925502398363076,0.12426305413229,0.821292185858221,gene,gene
ZNF446,ZNF24,0.0794100951090823,0.12426305413229,0.821292185858221,gene,gene
ZNF446,ZNF263,0.292901595800407,0.12426305413229,0.821292185858221,gene,gene
ZNF446,ZNF496,0,0.12426305413229,0.821292185858221,gene,gene
ZNF446,ZSCAN16,0.11291804905021,0.12426305413229,0.821292185858221,gene,gene
ZNF446,age,-0.0486802785021335,0.12426305413229,0.821292185858221,phenotype,gene
RPS5,(Intercept),1.25510351309271e-17,0.1032172353837,0.844875823776212,(Intercept),gene
RPS5,KRR1,-0.0866200791789563,0.1032172353837,0.844875823776212,gene,gene
RPS5,PWP2,0,0.1032172353837,0.844875823776212,gene,gene
RPS5,RRP9,0.280290239948379,0.1032172353837,0.844875823776212,gene,gene
RPS5,age,-0.0824577997849363,0.1032172353837,0.844875823776212,phenotype,gene
UBE2M,(Intercept),2.877489701493e-17,0.0515323714764768,0.933058229010994,(Intercept),gene
UBE2M,NAE1,0.0911955865334237,0.0515323714764768,0.933058229010994,gene,gene
UBE2M,UBA3,-0.215908531708227,0.0515323714764768,0.933058229010994,gene,gene
UBE2M,age,-0.00795466509062687,0.0515323714764768,0.933058229010994,phenotype,gene
SAE1,(Intercept),-9.40189919362594e-18,0.0937321964313613,0.858413367991046,(Intercept),gene
SAE1,SUMO3,0.0943747268079374,0.0937321964313613,0.858413367991046,gene,gene
SAE1,UBA2,0.234189535056832,0.0937321964313613,0.858413367991046,gene,gene
SAE1,UBE2I,0.131713839138119,0.0937321964313613,0.858413367991046,gene,gene
SAE1,age,0,0.0937321964313613,0.858413367991046,phenotype,gene
CIRBP,(Intercept),2.52664283309675e-17,0.0239088971164842,0.959714442095982,(Intercept),gene
CIRBP,PRMT1,-0.132281303478453,0.0239088971164842,0.959714442095982,gene,gene
CIRBP,RBMX,0.000924643056294173,0.0239088971164842,0.959714442095982,gene,gene
CIRBP,age,0.0660510501064942,0.0239088971164842,0.959714442095982,phenotype,gene
STK11,(Intercept),-3.04919225977359e-17,0.0648608714716007,0.91536499455583,(Intercept),gene
STK11,CAB39,-0.157805777034545,0.0648608714716007,0.91536499455583,gene,gene
STK11,SMARCA4,0.154839133894084,0.0648608714716007,0.91536499455583,gene,gene
STK11,STRADA,0.0281332751483013,0.0648608714716007,0.91536499455583,gene,gene
STK11,age,0.0424499733532168,0.0648608714716007,0.91536499455583,phenotype,gene
TXNL4A,(Intercept),-9.1235745228965e-18,0.128963159460721,0.814476740085016,(Intercept),gene
TXNL4A,PQBP1,0.35911440998757,0.128963159460721,0.814476740085016,gene,gene
TXNL4A,age,0,0.128963159460721,0.814476740085016,phenotype,gene
CTDP1,(Intercept),-1.84834629789425e-17,0.00970725681865028,0.984533024110667,(Intercept),gene
