target,predictor,value,r_squared,mse,predictor_layer,target_layer
PLXNB2,(Intercept),1.13517473401258e-17,9.50114133335208e-05,0.996793114554592,(Intercept),gene
PLXNB2,age,0,9.50114133335208e-05,0.996793114554592,phenotype,gene
PLXNB2,gender,-0.0097473798188806,9.50114133335208e-05,0.996793114554592,phenotype,gene
A1BG,(Intercept),-1.75417388765153e-17,2.51703356359643e-07,0.997652141445036,(Intercept),gene
A1BG,age,-0.000501700464779178,2.51703356359643e-07,0.997652141445036,phenotype,gene
A1BG,gender,0,2.51703356359643e-07,0.997652141445036,phenotype,gene
ATP9B,(Intercept),-6.36943299414151e-18,0.000368473008163167,0.995636065096172,(Intercept),gene
ATP9B,age,0,0.000368473008163167,0.995636065096172,phenotype,gene
ATP9B,gender,-0.0191956507616482,0.000368473008163167,0.995636065096172,phenotype,gene
EHD4,(Intercept),-8.41875279336612e-18,0.00383045495160064,0.991416548248788,(Intercept),gene
EHD4,age,0,0.00383045495160064,0.991416548248788,phenotype,gene
EHD4,gender,-0.0618906693419989,0.00383045495160064,0.991416548248788,phenotype,gene
INO80,(Intercept),3.30462162133571e-17,1.77311532419833e-07,0.997625126115987,(Intercept),gene
INO80,age,-0.000421083759387409,1.77311532419833e-07,0.997625126115987,phenotype,gene
INO80,gender,0,1.77311532419833e-07,0.997625126115987,phenotype,gene
FBRSL1,(Intercept),-1.83425984384318e-17,0.000465281888992509,0.995676163683939,(Intercept),gene
FBRSL1,age,-0.0215703938070799,0.000465281888992509,0.995676163683939,phenotype,gene
FBRSL1,gender,0,0.000465281888992509,0.995676163683939,phenotype,gene
ZNF10,(Intercept),-7.42696412560927e-18,1.58599293525385e-05,0.997226872894784,(Intercept),gene
ZNF10,age,0,1.58599293525385e-05,0.997226872894784,phenotype,gene
ZNF10,gender,0.00398245268051467,1.58599293525385e-05,0.997226872894784,phenotype,gene
APAF1,(Intercept),-1.73013118090949e-17,0.000477621471951601,0.996071748636013,(Intercept),gene
APAF1,age,-0.0218545526596085,0.000477621471951601,0.996071748636013,phenotype,gene
APAF1,gender,0,0.000477621471951601,0.996071748636013,phenotype,gene
JAM3,(Intercept),-2.01700807525467e-17,0.0175670606598411,0.968850665460656,(Intercept),gene
JAM3,age,-0.132540788664626,0.0175670606598411,0.968850665460656,phenotype,gene
JAM3,gender,0,0.0175670606598411,0.968850665460656,phenotype,gene
CDKN2B,(Intercept),-2.8056563529098e-17,0.00480256968794131,0.991004744930398,(Intercept),gene
CDKN2B,age,-0.0693005749466865,0.00480256968794131,0.991004744930398,phenotype,gene
CDKN2B,gender,0,0.00480256968794131,0.991004744930398,phenotype,gene
TRAF3IP2,(Intercept),1.60736938186249e-17,0.00176757084693292,0.99438877660236,(Intercept),gene
TRAF3IP2,age,-0.0420285802442741,0.00176757084693292,0.99438877660236,phenotype,gene
TRAF3IP2,gender,-0.000538499721877626,0.00176757084693292,0.99438877660236,phenotype,gene
KPNA5,(Intercept),-1.78042796804564e-17,0.00514683600433433,0.987620129308831,(Intercept),gene
KPNA5,age,0,0.00514683600433433,0.987620129308831,phenotype,gene
KPNA5,gender,-0.0717414524827476,0.00514683600433433,0.987620129308831,phenotype,gene
MANEA,(Intercept),4.86512250564513e-18,0.00115061218178171,0.994217861190326,(Intercept),gene
MANEA,age,0.0339206748426636,0.00115061218178171,0.994217861190326,phenotype,gene
MANEA,gender,0,0.00115061218178171,0.994217861190326,phenotype,gene
WASF1,(Intercept),2.87084220157209e-17,0.00011611932109232,0.99598554915591,(Intercept),gene
WASF1,age,-0.010775867533165,0.00011611932109232,0.99598554915591,phenotype,gene
WASF1,gender,0,0.00011611932109232,0.99598554915591,phenotype,gene
YTHDC2,(Intercept),-2.59606618716775e-17,0.00188781552716392,0.993317437484326,(Intercept),gene
YTHDC2,age,0,0.00188781552716392,0.993317437484326,phenotype,gene
YTHDC2,gender,0.0434489991503132,0.00188781552716392,0.993317437484326,phenotype,gene
C5orf30,(Intercept),-2.85841581868666e-17,0.00691407969622752,0.987361966759174,(Intercept),gene
C5orf30,age,0.0690259376139206,0.00691407969622752,0.987361966759174,phenotype,gene
C5orf30,gender,0.044869243831096,0.00691407969622752,0.987361966759174,phenotype,gene
PASK,(Intercept),1.78885436926877e-17,0.0182021181466247,0.966801693423938,(Intercept),gene
PASK,age,-0.134915225777615,0.0182021181466247,0.966801693423938,phenotype,gene
PASK,gender,0,0.0182021181466247,0.966801693423938,phenotype,gene
OLFML3,(Intercept),8.4869210971066e-18,1.55854440624369e-05,0.997528469374106,(Intercept),gene
OLFML3,age,0.00394784043021459,1.55854440624369e-05,0.997528469374106,phenotype,gene
OLFML3,gender,0,1.55854440624369e-05,0.997528469374106,phenotype,gene
BRD4,(Intercept),-8.74762007125715e-18,0.00740554220039021,0.989574740890084,(Intercept),gene
BRD4,age,-0.0805486048302101,0.00740554220039021,0.989574740890084,phenotype,gene
BRD4,gender,0.0334707240534498,0.00740554220039021,0.989574740890084,phenotype,gene
IGF1R,(Intercept),-2.56473981191817e-18,0.000869471157417672,0.99320459004181,(Intercept),gene
IGF1R,age,0,0.000869471157417672,0.99320459004181,phenotype,gene
IGF1R,gender,0.0294867963233999,0.000869471157417672,0.99320459004181,phenotype,gene
RAB20,(Intercept),8.58471443385951e-19,0.000813497121434274,0.993411353904208,(Intercept),gene
RAB20,age,0,0.000813497121434274,0.993411353904208,phenotype,gene
RAB20,gender,-0.0285218709315198,0.000813497121434274,0.993411353904208,phenotype,gene
CREB3,(Intercept),-2.05108445926625e-17,0.000603771545165633,0.996288972127829,(Intercept),gene
CREB3,age,0.0245717631676205,0.000603771545165633,0.996288972127829,phenotype,gene
CREB3,gender,0,0.000603771545165633,0.996288972127829,phenotype,gene
SNHG8,(Intercept),1.97774640314629e-17,3.09252803363433e-06,0.997516595251697,(Intercept),gene
SNHG8,age,0.00175855851015379,3.09252803363433e-06,0.997516595251697,phenotype,gene
SNHG8,gender,0,3.09252803363433e-06,0.997516595251697,phenotype,gene
NUBP2,(Intercept),4.69263728932127e-17,0.00168839262803535,0.99387301167256,(Intercept),gene
NUBP2,age,0.0407657482381319,0.00168839262803535,0.99387301167256,phenotype,gene
NUBP2,gender,-0.00503688700720241,0.00168839262803535,0.99387301167256,phenotype,gene
TOB1,(Intercept),1.18075124985798e-18,1.43887895931892e-06,0.997517004192333,(Intercept),gene
TOB1,age,0.00119953280877137,1.43887895931892e-06,0.997517004192333,phenotype,gene
TOB1,gender,0,1.43887895931892e-06,0.997517004192333,phenotype,gene
CDK5,(Intercept),-3.71344068546303e-17,0.00339420695026138,0.991775382098636,(Intercept),gene
CDK5,age,0,0.00339420695026138,0.991775382098636,phenotype,gene
CDK5,gender,0.0582598227791793,0.00339420695026138,0.991775382098636,phenotype,gene
ANAPC10,(Intercept),2.8737111500969e-17,0.000713270079410412,0.994645705112911,(Intercept),gene
ANAPC10,age,0.0267071166435168,0.000713270079410412,0.994645705112911,phenotype,gene
ANAPC10,gender,0,0.000713270079410412,0.994645705112911,phenotype,gene
CD52,(Intercept),1.63322155420901e-17,3.97030546381089e-05,0.996735706453224,(Intercept),gene
CD52,age,-0.00630103599720783,3.97030546381089e-05,0.996735706453224,phenotype,gene
CD52,gender,0,3.97030546381089e-05,0.996735706453224,phenotype,gene
TOMM40,(Intercept),9.56844592385175e-18,0.00355249814607382,0.989902906717662,(Intercept),gene
TOMM40,age,-0.0463547695316582,0.00355249814607382,0.989902906717662,phenotype,gene
TOMM40,gender,0.0384783431998256,0.00355249814607382,0.989902906717662,phenotype,gene
EIF3M,(Intercept),-5.80315972091434e-17,0.000106737541650657,0.996596539418052,(Intercept),gene
EIF3M,age,0,0.000106737541650657,0.996596539418052,phenotype,gene
EIF3M,gender,-0.0103313862405128,0.000106737541650657,0.996596539418052,phenotype,gene
IPO7,(Intercept),1.57591877340743e-17,0.000183866184792473,0.996290555197773,(Intercept),gene
IPO7,age,0.00896408945422301,0.000183866184792473,0.996290555197773,phenotype,gene
IPO7,gender,0.00979995939501581,0.000183866184792473,0.996290555197773,phenotype,gene
TACC2,(Intercept),-3.17527853653018e-17,0.000629531404594729,0.994701956478123,(Intercept),gene
TACC2,age,0.0250904644156845,0.000629531404594729,0.994701956478123,phenotype,gene
TACC2,gender,0,0.000629531404594729,0.994701956478123,phenotype,gene
TRIM3,(Intercept),8.91074118729313e-18,0.000332525941288082,0.996628287984529,(Intercept),gene
TRIM3,age,0.0182352938360774,0.000332525941288082,0.996628287984529,phenotype,gene
TRIM3,gender,0,0.000332525941288082,0.996628287984529,phenotype,gene
ARID3B,(Intercept),2.42592501757641e-17,0.00549089840355278,0.985578712840531,(Intercept),gene
ARID3B,age,0.0122868207032847,0.00549089840355278,0.985578712840531,phenotype,gene
ARID3B,gender,0.0731100946726193,0.00549089840355278,0.985578712840531,phenotype,gene
MYL12A,(Intercept),2.94176521561923e-17,0.00898810804684667,0.979553294188755,(Intercept),gene
MYL12A,age,-0.0948056329911186,0.00898810804684667,0.979553294188755,phenotype,gene
MYL12A,gender,0,0.00898810804684667,0.979553294188755,phenotype,gene
CENPF,(Intercept),1.35143150761197e-17,0.00047299093003924,0.996100825984917,(Intercept),gene
CENPF,age,0,0.00047299093003924,0.996100825984917,phenotype,gene
CENPF,gender,0.0217483546513119,0.00047299093003924,0.996100825984917,phenotype,gene
NPRL2,(Intercept),-1.40546048152524e-17,2.37478892640457e-05,0.997291868172824,(Intercept),gene
NPRL2,age,0.00487318061065314,2.37478892640457e-05,0.997291868172824,phenotype,gene
NPRL2,gender,0,2.37478892640457e-05,0.997291868172824,phenotype,gene
CCT6B,(Intercept),-3.57495732236363e-18,0.00252391329531632,0.990840099366612,(Intercept),gene
CCT6B,age,0.0502385638261716,0.00252391329531632,0.990840099366612,phenotype,gene
CCT6B,gender,0,0.00252391329531632,0.990840099366612,phenotype,gene
ADCY1,(Intercept),8.10591978169224e-18,0.000872660946804667,0.99563434688179,(Intercept),gene
ADCY1,age,0.00508544847457935,0.000872660946804667,0.99563434688179,phenotype,gene
ADCY1,gender,0.0289893571976204,0.000872660946804667,0.99563434688179,phenotype,gene
USP39,(Intercept),2.94284114359854e-17,0.00342985995138394,0.987792638434362,(Intercept),gene
USP39,age,0,0.00342985995138394,0.987792638434362,phenotype,gene
USP39,gender,-0.0585650062015188,0.00342985995138394,0.987792638434362,phenotype,gene
MAPRE2,(Intercept),-1.59011749588314e-17,0.0344206178107343,0.951406700205432,(Intercept),gene
MAPRE2,age,-0.172259275815059,0.0344206178107343,0.951406700205432,phenotype,gene
MAPRE2,gender,-0.0696830227462836,0.0344206178107343,0.951406700205432,phenotype,gene
PTENP1,(Intercept),-2.26212520067971e-17,1.26290639873359e-06,0.997598803045316,(Intercept),gene
PTENP1,age,-0.00112379108322392,1.26290639873359e-06,0.997598803045316,phenotype,gene
PTENP1,gender,0,1.26290639873359e-06,0.997598803045316,phenotype,gene
FDX1L,(Intercept),-8.88692670547085e-18,0.00139069500059819,0.993612777739217,(Intercept),gene
FDX1L,age,0,0.00139069500059819,0.993612777739217,phenotype,gene
FDX1L,gender,0.0372920232837827,0.00139069500059819,0.993612777739217,phenotype,gene
NACC1,(Intercept),-3.76420963745933e-18,8.06405231860019e-05,0.997285206652937,(Intercept),gene
NACC1,age,-0.00898000685890617,8.06405231860019e-05,0.997285206652937,phenotype,gene
NACC1,gender,0,8.06405231860019e-05,0.997285206652937,phenotype,gene
SLCO2B1,(Intercept),8.22771731642648e-18,0.00291121754345997,0.992677468819243,(Intercept),gene
SLCO2B1,age,0.0362395201987485,0.00291121754345997,0.992677468819243,phenotype,gene
SLCO2B1,gender,0.0390385897678242,0.00291121754345997,0.992677468819243,phenotype,gene
OSBPL7,(Intercept),1.28031896817261e-17,0.00432418509400674,0.990330978166525,(Intercept),gene
OSBPL7,age,-0.0500791468724679,0.00432418509400674,0.990330978166525,phenotype,gene
OSBPL7,gender,0.0447632170559606,0.00432418509400674,0.990330978166525,phenotype,gene
SFXN4,(Intercept),-3.31640112170921e-17,0.000545617868740081,0.99442010553152,(Intercept),gene
SFXN4,age,0.0233584646057929,0.000545617868740081,0.99442010553152,phenotype,gene
SFXN4,gender,0,0.000545617868740081,0.99442010553152,phenotype,gene
SPPL3,(Intercept),1.70927220370758e-17,0.00527015408446964,0.988110624093988,(Intercept),gene
SPPL3,age,0.0341084296823156,0.00527015408446964,0.988110624093988,phenotype,gene
SPPL3,gender,0.0627644774977499,0.00527015408446964,0.988110624093988,phenotype,gene
CANT1,(Intercept),-3.06108786452172e-17,0.00747115398568225,0.982273729030866,(Intercept),gene
CANT1,age,0,0.00747115398568225,0.982273729030866,phenotype,gene
CANT1,gender,0.0864358373921503,0.00747115398568225,0.982273729030866,phenotype,gene
COL1A1,(Intercept),1.03442982098522e-17,0.000923674280089439,0.993109186364802,(Intercept),gene
COL1A1,age,0,0.000923674280089439,0.993109186364802,phenotype,gene
COL1A1,gender,0.0303920101357156,0.000923674280089439,0.993109186364802,phenotype,gene
