target,predictor,value,r_squared,mse,predictor_layer,target_layer
TYMP,(Intercept),2.5641899789525e-17,0.00191642302738366,0.977335184602569,(Intercept),gene
TYMP,age,-0.00939019814830686,0.00191642302738366,0.977335184602569,phenotype,gene
TYMP,gender,0.0433060417942712,0.00191642302738366,0.977335184602569,phenotype,gene
PLXNB2,(Intercept),2.82365432304056e-17,0.00965117853348683,0.941174439564158,(Intercept),gene
PLXNB2,ARHGEF11,-0.0982404119163129,0.00965117853348683,0.941174439564158,gene,gene
PLXNB2,age,0,0.00965117853348683,0.941174439564158,phenotype,gene
PLXNB2,gender,0,0.00965117853348683,0.941174439564158,phenotype,gene
BRD1,(Intercept),6.17916973646423e-18,0.000748645748817743,0.981647680306594,(Intercept),gene
BRD1,age,0.00320023593409334,0.000748645748817743,0.981647680306594,phenotype,gene
BRD1,gender,0.0269886367115987,0.000748645748817743,0.981647680306594,phenotype,gene
RPL23AP82,(Intercept),-4.60337634283849e-17,0.00157049500852235,0.970046672261996,(Intercept),gene
RPL23AP82,age,0.0396294714640803,0.00157049500852235,0.970046672261996,phenotype,gene
RPL23AP82,gender,0,0.00157049500852235,0.970046672261996,phenotype,gene
NCAPH2,(Intercept),-3.43587700264756e-17,0.000923443538106635,0.97982724045486,(Intercept),gene
NCAPH2,age,0,0.000923443538106635,0.97982724045486,phenotype,gene
NCAPH2,gender,0.030388213802503,0.000923443538106635,0.97982724045486,phenotype,gene
CHKB.CPT1B,(Intercept),-7.75244597969699e-18,0.00085924805915953,0.97758245525651,(Intercept),gene
CHKB.CPT1B,age,-0.0154397820598648,0.00085924805915953,0.97758245525651,phenotype,gene
CHKB.CPT1B,gender,0.025828569999388,0.00085924805915953,0.97758245525651,phenotype,gene
ARSA,(Intercept),-2.02739622726246e-17,1.39912224745494e-05,0.984506622230569,(Intercept),gene
ARSA,age,0,1.39912224745494e-05,0.984506622230569,phenotype,gene
ARSA,gender,0.00374048425669049,1.39912224745494e-05,0.984506622230569,phenotype,gene
MAPK11,(Intercept),9.61847984079814e-18,0.00497210947216891,0.967901177555548,(Intercept),gene
MAPK11,HDAC3,-0.0705131865126581,0.00497210947216891,0.967901177555548,gene,gene
MAPK11,PML,0,0.00497210947216891,0.967901177555548,gene,gene
MAPK11,age,0,0.00497210947216891,0.967901177555548,phenotype,gene
MAPK11,gender,0,0.00497210947216891,0.967901177555548,phenotype,gene
MAPK12,(Intercept),-2.38890230299329e-17,0.0126361406248193,0.947308035722014,(Intercept),gene
MAPK12,age,0.112410589469228,0.0126361406248193,0.947308035722014,phenotype,gene
MAPK12,gender,0,0.0126361406248193,0.947308035722014,phenotype,gene
CRELD2,(Intercept),1.95522447956799e-17,0.0629057720216615,0.87823455708051,(Intercept),gene
CRELD2,age,0.00673586524359747,0.0629057720216615,0.87823455708051,phenotype,gene
CRELD2,gender,-0.25111070212465,0.0629057720216615,0.87823455708051,phenotype,gene
SHANK3,(Intercept),-2.41918937055151e-17,0.00227385516028345,0.971505164076986,(Intercept),gene
SHANK3,ARHGEF7,-0.0476849573794866,0.00227385516028345,0.971505164076986,gene,gene
SHANK3,age,0,0.00227385516028345,0.971505164076986,phenotype,gene
SHANK3,gender,0,0.00227385516028345,0.971505164076986,phenotype,gene
