target,predictor,value,r_squared,mse,predictor_layer,target_layer
TYMP,(Intercept),2.56474497949455e-17,0.00193124019213204,0.977348879807146,(Intercept),gene
TYMP,chr22.48026910.51304566.probes.1494346.1495412.,0,0.00193124019213204,0.977348879807146,cnv,gene
TYMP,age,-0.00897662008825532,0.00193124019213204,0.977348879807146,phenotype,gene
TYMP,gender,0.0435430352693779,0.00193124019213204,0.977348879807146,phenotype,gene
PLXNB2,(Intercept),3.77717064413222e-17,0.11958185720138,0.791595529241606,(Intercept),gene
PLXNB2,ARHGEF11,-0.255110514000055,0.11958185720138,0.791595529241606,gene,gene
PLXNB2,ARHGEF11,0,0.11958185720138,0.791595529241606,methylation,gene
PLXNB2,chr22.48026910.51304566.probes.1494346.1495412.,0.235723559985332,0.11958185720138,0.791595529241606,cnv,gene
PLXNB2,age,0.0669329755870596,0.11958185720138,0.791595529241606,phenotype,gene
PLXNB2,gender,-0.104052905849267,0.11958185720138,0.791595529241606,phenotype,gene
BRD1,(Intercept),6.7565961343484e-18,4.32042515757262e-06,0.984139927987385,(Intercept),gene
BRD1,chr22.48026910.51304566.probes.1494346.1495412.,0.0020785632435826,4.32042515757262e-06,0.984139927987385,cnv,gene
BRD1,age,0,4.32042515757262e-06,0.984139927987385,phenotype,gene
BRD1,gender,0,4.32042515757262e-06,0.984139927987385,phenotype,gene
CHKB.CPT1B,(Intercept),-7.75106230738779e-18,0.000862134971167934,0.977585518541713,(Intercept),gene
CHKB.CPT1B,chr22.48026910.51304566.probes.1494346.1495412.,0,0.000862134971167934,0.977585518541713,cnv,gene
CHKB.CPT1B,age,-0.0152423632809824,0.000862134971167934,0.977585518541713,phenotype,gene
CHKB.CPT1B,gender,0.025995437260633,0.000862134971167934,0.977585518541713,phenotype,gene
MAPK11,(Intercept),9.96803407678019e-18,0.000344579761150699,0.979437307587187,(Intercept),gene
MAPK11,HDAC3,-0.0185628597244794,0.000344579761150699,0.979437307587187,gene,gene
MAPK11,PML,0,0.000344579761150699,0.979437307587187,gene,gene
MAPK11,MAPK11,0,0.000344579761150699,0.979437307587187,methylation,gene
MAPK11,chr22.48026910.51304566.probes.1494346.1495412.,0,0.000344579761150699,0.979437307587187,cnv,gene
MAPK11,age,0,0.000344579761150699,0.979437307587187,phenotype,gene
MAPK11,gender,0,0.000344579761150699,0.979437307587187,phenotype,gene
MAPK12,(Intercept),-2.36029458967433e-17,0.0151387674439552,0.945046343714404,(Intercept),gene
MAPK12,chr22.48026910.51304566.probes.1494346.1495412.,0,0.0151387674439552,0.945046343714404,cnv,gene
MAPK12,age,0.123039698650294,0.0151387674439552,0.945046343714404,phenotype,gene
MAPK12,gender,0,0.0151387674439552,0.945046343714404,phenotype,gene
CRELD2,(Intercept),1.80037877783575e-17,0.0372711832682469,0.892632271427168,(Intercept),gene
CRELD2,CRELD2,0,0.0372711832682469,0.892632271427168,methylation,gene
CRELD2,chr22.48026910.51304566.probes.1494346.1495412.,0,0.0372711832682469,0.892632271427168,cnv,gene
CRELD2,age,0,0.0372711832682469,0.892632271427168,phenotype,gene
CRELD2,gender,-0.193057461053042,0.0372711832682469,0.892632271427168,phenotype,gene
ADM2,(Intercept),2.37636036936024e-17,0.196317434442643,0.767974140614782,(Intercept),gene
ADM2,chr22.48026910.51304566.probes.1494346.1495412.,0.353803795276418,0.196317434442643,0.767974140614782,cnv,gene
ADM2,age,0.164607361255961,0.196317434442643,0.767974140614782,phenotype,gene
ADM2,gender,-0.190194553378975,0.196317434442643,0.767974140614782,phenotype,gene
SHANK3,(Intercept),-2.40367797671533e-17,0.00130743962744828,0.97432005199714,(Intercept),gene
SHANK3,ARHGEF7,-0.0361585346418834,0.00130743962744828,0.97432005199714,gene,gene
SHANK3,chr13.109724719.111776288.probes.1180379.1181884.,0,0.00130743962744828,0.97432005199714,cnv,gene
SHANK3,chr22.48026910.51304566.probes.1494346.1495412.,0,0.00130743962744828,0.97432005199714,cnv,gene
SHANK3,age,0,0.00130743962744828,0.97432005199714,phenotype,gene
SHANK3,gender,0,0.00130743962744828,0.97432005199714,phenotype,gene
TUBGCP6,(Intercept),-5.8510583525018e-18,0.00425252674671645,0.973204990723252,(Intercept),gene
TUBGCP6,chr22.48026910.51304566.probes.1494346.1495412.,0.0652114004351727,0.00425252674671645,0.973204990723252,cnv,gene
TUBGCP6,age,0,0.00425252674671645,0.973204990723252,phenotype,gene
TUBGCP6,gender,0,0.00425252674671645,0.973204990723252,phenotype,gene
LMF2,(Intercept),-6.27891553812154e-17,0.0365776406004687,0.909522011288064,(Intercept),gene
LMF2,chr22.48026910.51304566.probes.1494346.1495412.,-0.146705011695943,0.0365776406004687,0.909522011288064,cnv,gene
LMF2,age,0,0.0365776406004687,0.909522011288064,phenotype,gene
LMF2,gender,-0.131931962778899,0.0365776406004687,0.909522011288064,phenotype,gene
A1BG,(Intercept),3.07158419842363e-17,0.0443928605263604,0.909698625146168,(Intercept),gene
A1BG,chr19.58851537.59128983.probes.1420836.1420847.,0,0.0443928605263604,0.909698625146168,cnv,gene
A1BG,age,0.143844936471865,0.0443928605263604,0.909698625146168,phenotype,gene
A1BG,gender,0.145836727687544,0.0443928605263604,0.909698625146168,phenotype,gene
SLC27A5,(Intercept),1.27573621429032e-17,0.000901650917550543,0.97575683764643,(Intercept),gene
SLC27A5,chr19.58851537.59128983.probes.1420836.1420847.,0,0.000901650917550543,0.97575683764643,cnv,gene
SLC27A5,age,0.000256044157082162,0.000901650917550543,0.97575683764643,phenotype,gene
SLC27A5,gender,0.0300115659025772,0.000901650917550543,0.97575683764643,phenotype,gene
ZNF497,(Intercept),4.04578160277938e-17,8.65831573971173e-05,0.983136613399479,(Intercept),gene
ZNF497,chr19.58851537.59128983.probes.1420836.1420847.,-0.00918145520324542,8.65831573971173e-05,0.983136613399479,cnv,gene
ZNF497,age,0.00319789279272068,8.65831573971173e-05,0.983136613399479,phenotype,gene
ZNF497,gender,0,8.65831573971173e-05,0.983136613399479,phenotype,gene
ZNF584,(Intercept),-1.49511800710423e-20,0.00157907139017075,0.968740213763815,(Intercept),gene
ZNF584,chr19.58851537.59128983.probes.1420836.1420847.,0.0396542737223879,0.00157907139017075,0.968740213763815,cnv,gene
ZNF584,age,0,0.00157907139017075,0.968740213763815,phenotype,gene
ZNF584,gender,0.000634864644825984,0.00157907139017075,0.968740213763815,phenotype,gene
ZSCAN22,(Intercept),6.72862439166762e-18,0.0097117978880638,0.95788390523223,(Intercept),gene
ZSCAN22,chr19.58851537.59128983.probes.1420836.1420847.,0.0985484545189005,0.0097117978880638,0.95788390523223,cnv,gene
ZSCAN22,age,0,0.0097117978880638,0.95788390523223,phenotype,gene
ZSCAN22,gender,0,0.0097117978880638,0.95788390523223,phenotype,gene
ZNF324B,(Intercept),6.67805631992976e-18,0.00628942928830847,0.96380105909674,(Intercept),gene
ZNF324B,chr19.58851537.59128983.probes.1420836.1420847.,0.0790125882460313,0.00628942928830847,0.96380105909674,cnv,gene
ZNF324B,age,0,0.00628942928830847,0.96380105909674,phenotype,gene
ZNF324B,gender,0.00214724729090559,0.00628942928830847,0.96380105909674,phenotype,gene
RPS5,(Intercept),9.90200495347484e-18,0.0587207778598016,0.84832113895318,(Intercept),gene
RPS5,KRR1,-0.0709501659804765,0.0587207778598016,0.84832113895318,gene,gene
RPS5,PWP2,-0.181821444559089,0.0587207778598016,0.84832113895318,gene,gene
RPS5,RRP9,0.0961581931114981,0.0587207778598016,0.84832113895318,gene,gene
RPS5,chr19.58851537.59128983.probes.1420836.1420847.,0,0.0587207778598016,0.84832113895318,cnv,gene
RPS5,age,0,0.0587207778598016,0.84832113895318,phenotype,gene
RPS5,gender,0.192794651844877,0.0587207778598016,0.84832113895318,phenotype,gene
MZF1,(Intercept),-1.48643754371978e-17,0.00447025720433943,0.959171856219904,(Intercept),gene
MZF1,chr19.58851537.59128983.probes.1420836.1420847.,0.0235282016737346,0.00447025720433943,0.959171856219904,cnv,gene
MZF1,age,0,0.00447025720433943,0.959171856219904,phenotype,gene
MZF1,gender,0.0597501306976999,0.00447025720433943,0.959171856219904,phenotype,gene
UBE2M,(Intercept),-1.6821560979169e-17,6.59334518424632e-05,0.982363246014531,(Intercept),gene
UBE2M,NAE1,0,6.59334518424632e-05,0.982363246014531,gene,gene
UBE2M,UBA3,0,6.59334518424632e-05,0.982363246014531,gene,gene
UBE2M,chr19.58851537.59128983.probes.1420836.1420847.,0.00811994161570533,6.59334518424632e-05,0.982363246014531,cnv,gene
UBE2M,age,0,6.59334518424632e-05,0.982363246014531,phenotype,gene
UBE2M,gender,0,6.59334518424632e-05,0.982363246014531,phenotype,gene
AP2S1,(Intercept),1.87032094638173e-17,0.0229001909676344,0.933776942669912,(Intercept),gene
